세부항목,규제내용,컴플라이언스,매핑ID,매핑여부(직접매핑/해당없음),감사가능,감사방법(AWS 콘솔/CLI),권장해결(요약),,,,
Article 60 Testing of high-risk AI systems in real world conditions outside AI regulatory sandboxes,"60.5Any subjects of the testing in real world conditions, or their legally designated representative, as appropriate, may, without any resulting detriment and without having to provide any justification, withdraw from the testing at any time by revoking their informed consent and may request the immediate and permanent deletion of their personal data. The withdrawal of the informed consent shall not affect the activities already carried out.",eu-ai-act,4.0-01;4.0-03;3.0-01,직접매핑,,,,,,,
Article 19 Automatically generated logs,"19.1 Providers of high-risk AI systems shall keep the logs referred to in Article 12(1), automatically generated by their high-risk AI systems, to the extent such logs are under their control. Without prejudice to applicable Union or national law, the logs shall be kept for a period appropriate to the intended purpose of the high-risk AI system, of at least six months, unless provided otherwise in the applicable Union or national law, in particular in Union law on the protection of personal data.",eu-ai-act,3.0-11,직접매핑,,,,,,,
Article 26 Obligations of deployers of high-risk AI systems,"26.6 Deployers of high-risk AI systems shall keep the logs automatically generated by that high-risk AI system to the extent such logs are under their control, for a period appropriate to the intended purpose of the high-risk AI system, of at least six months, unless provided otherwise in applicable Union or national law, in particular in Union law on the protection of personal data. Deployers that are financial institutions subject to requirements regarding their internal governance, arrangements or processes under Union financial services law shall maintain the logs as part of the documentation kept pursuant to the relevant Union financial service law.",eu-ai-act,3.0-11,직접매핑,,,,,,,
Article 59 Further processing of personal data for developing certain AI systems in the public interest in the AI regulatory sandbox,"59.1 In the AI regulatory sandbox,, personal data lawfully collected for other purposes may be processed solely for the purpose of developing, training and testing certain AI systems in the sandbox when all of the following conditions are met:

(a) AI systems shall be developed for safeguarding substantial public interest by a public authority or another natural or legal person and in one or more of the following areas:

(i) public safety and public health, including disease detection, diagnosis prevention, control and treatment and improvement of health care systems;

(ii) a high level of protection and improvement of the quality of the environment, protection of biodiversity, protection against pollution, green transition measures, climate change mitigation and adaptation measures;

(iii) energy sustainability;

(iv) safety and resilience of transport systems and mobility, critical infrastructure and networks;

(v) efficiency and quality of public administration and public services;

(b) the data processed are necessary for complying with one or more of the requirements referred to in Chapter III, Section 2 where those requirements cannot effectively be fulfilled by processing anonymised, synthetic or other non-personal data;

(c) there are effective monitoring mechanisms to identify if any high risks to the rights and freedoms of the data subjects, as referred to in Article 35 of Regulation (EU) 2016/679 and in Article 39 of Regulation (EU) 2018/1725, may arise during the sandbox experimentation, as well as response mechanisms to promptly mitigate those risks and, where necessary, stop the processing;

(d) any personal data to be processed in the context of the sandbox are in a functionally separate, isolated and protected data processing environment under the control of the prospective provider and only authorised persons have access to those data;

(e) providers can further share the originally collected data only in accordance with Union data protection law; any personal data created in the sandbox cannot be shared outside the sandbox;

(f) any processing of personal data in the context of the sandbox neither leads to measures or decisions affecting the data subjects nor does it affect the application of their rights laid down in Union law on the protection of personal data;

(g) any personal data processed in the context of the sandbox are protected by means of appropriate technical and organisational measures and deleted once the participation in the sandbox has terminated or the personal data has reached the end of its retention period;

(h) the logs of the processing of personal data in the context of the sandbox are kept for the duration of the participation in the sandbox, unless provided otherwise by Union or national law;

(i) a complete and detailed description of the process and rationale behind the training, testing and validation of the AI system is kept together with the testing results as part of the technical documentation referred to in Annex IV;

(j) a short summary of the AI project developed in the sandbox, its objectives and expected results is published on the website of the competent authorities; this obligation shall not cover sensitive operational data in relation to the activities of law enforcement, border control, immigration or asylum authorities.",eu-ai-act,3.0-01;11.0-02;1.0-01;2.0-01,직접매핑,,,,,,,
Article 10 Data and data governance,"10.2  Training, validation and testing data 
sets shall be subject to data governance 
and management practices appropriate 
for the intended purpose of the high-risk 
AI system. Those practices shall concern 
in particular: 
(a) the relevant design choices; 
(b) data collection processes and the 
origin of data, and in the case of 
personal data, the original purpose of the 
data collection; 
(c) relevant data-preparation processing 
operations, such as annotation, labelling, 
cleaning, updating, enrichment and aggregation; 
(d) the formulation of assumptions, in 
particular with respect to the information 
that the data are supposed to measure 
and represent; 
(e) an assessment of the availability, 
quantity and suitability of the data sets 
that are needed; 
(f) examination in view of possible biases 
that are likely to affect the health and 
safety of persons, have a negative 
impact on fundamental rights or lead to 
discrimination prohibited under Union 
law, especially where data outputs 
influence inputs for future operations; 
(g) appropriate measures to detect, 
prevent and mitigate possible biases 
identified according to point (f); 
(h) the identification of relevant data 
gaps or shortcomings that prevent 
compliance with this Regulation, and how 
those gaps and shortcomings can be 
addressed.",eu-ai-act,11.0-02;5.0-03;5.0-04;3.0-01,직접매핑,,,,,,,
Article 10 Data and data governance,"10.4 Data sets shall take into account, to the extent required by the intended purpose, the characteristics or elements that are particular to the specific geographical, contextual, behavioural or functional setting within which the high risk AI system is intended to be used. ",eu-ai-act,5.0-01;5.0-03,직접매핑,,,,,,,
Article 10 Data and data governance,"10.5 To the extent that it is strictly necessary for the purpose of ensuring bias detection and correction in relation to the high-risk AI systems in accordance with paragraph (2), points (f) and (g) of this Article, the providers of such systems may exceptionally process special categories of personal data, subject to appropriate safeguards for the fundamental rights and freedoms of natural persons. In addition to the provisions set out in Regulations (EU) 2016/679 and (EU) 2018/1725 and Directive (EU) 2016/680, all the following conditions must be met in order for such processing to occur:

(a) the bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data;

(b) the special categories of personal data are subject to technical limitations on the re-use of the personal data, and state-of-the-art security and privacy-preserving measures, including pseudonymisation;

(c) the special categories of personal data are subject to measures to ensure that the personal data processed are secured, protected, subject to suitable safeguards, including strict controls and documentation of the access, to avoid misuse and ensure that only authorised persons have access to those personal data with appropriate confidentiality obligations;

(d) the special categories of personal data are not to be transmitted, transferred or otherwise accessed by other parties;

(e) the special categories of personal data are deleted once the bias has been corrected or the personal data has reached the end of its retention period, whichever comes first;

(f) the records of processing activities pursuant to Regulations (EU) 2016/679 and (EU) 2018/1725 and Directive (EU) 2016/680 include the reasons why the processing of special categories of personal data was strictly necessary to detect and correct biases, and why that objective could not be achieved by processing other data.",eu-ai-act,2.0-01;10.0-01;1.0-01;3.0-01;11.0-03,직접매핑,,,,,,,
Article 10 Data and data governance,"10.6 For the development of high-risk AI systems not using techniques involving the training of AI models, paragraphs 2 to 5 apply only to the testing data sets.",eu-ai-act,11.0-02;5.0-03,직접매핑,,,,,,,
Article 20 Corrective actions and duty of information,"20.1 Providers of high-risk AI systems which consider or have reason to consider that a high-risk AI system that they have placed on the market or put into service is not in conformity with this Regulation shall immediately take the necessary corrective actions to bring that system into conformity, to withdraw it, to disable it, or to recall it, as appropriate. They shall inform the distributors of the high-risk AI system concerned and, where applicable, the deployers, the authorised representative and importers accordingly.",eu-ai-act,7.0-01;7.0-03;3.0-01,직접매핑,,,,,,,
Article 72 Post-market monitoring by providers and post-market monitoring plan for high-risk AI systems,"72.2 The post-market monitoring system shall actively and systematically collect, document and analyse relevant data which may be provided by deployers or which may be collected through other sources on the performance of high-risk AI systems throughout their lifetime, and which allow the provider to evaluate the continuous compliance of AI systems with the requirements set out in Chapter III, Section 2. Where relevant, post-market monitoring shall include an analysis of the interaction with other AI systems. This obligation shall not cover sensitive operational data of deployers which are law enforcement authorities.",eu-ai-act,7.0-01;3.0-03;3.0-11,직접매핑,,,,,,,
Article 51 Classification of general purpose AI models as general-purpose AI models with systemic risk,"51.2 A general-purpose AI model shall be presumed to have high impact capabilities pursuant to paragraph 1, point (a), when the cumulative amount of computation used for its training measured in floating point operations is greater than 10(^25).",eu-ai-act,11.0-02;7.0-01,직접매핑,,,,,,,
Article 26 Obligations of deployers of high-risk AI systems,"26.4 Without prejudice to paragraphs 1 and 2, to the extent the deployer exercises control over the input data, that deployer shall ensure that input data is relevant and sufficiently representative in view of the intended purpose of the high-risk AI system.",eu-ai-act,5.0-01;5.0-02,직접매핑,,,,,,,
6.7.1.1 Policy on the use of cryptographic controls,"Some jurisdictions can require the use of cryptography to protect particular kinds of PII, such as health data, resident registration numbers, passport numbers and driver's licence numbers. The organization should provide information to the customer regarding the circumstances in which it uses cryptography to protect the PII it processes. The organization should also provide information to the customer about any capabilities it provides that can assist the customer in applying their own cryptographic protection.",iso-27701,2.0-01;2.0-15;12.0-05,직접매핑,,,,,,,
6.11.1.2 Securing application services on public networks,The organization should ensure that PII that is transmitted over untrusted data transmission networks is encrypted for transmission. Untrusted networks can include the public internet and other facilities outside of the operational control of the organization.,iso-27701,2.0-09;8.0-03;12.0-05,직접매핑,,,,,,,
6.9.4.2 Protection of log information,"Log information recorded for, for example, security monitoring and operational diagnostics, can contain PII. Measures such as controlling access (see ISO/IEC 27002:2013, 9.2.3) should be put in place to ensure that logged information is only used as intended. A procedure, preferably automatic, should be put in place to ensure that logged information is either deleted or de-identified as specified in the retention schedule.",iso-27701,3.0-04;12.0-05;4.0-04;1.0-01,직접매핑,,,,,,,
"8.4.2 Return, transfer or disposal of PII","The organization should provide the ability to return, transfer and/or disposal of PII in a secure manner. It should also make its policy available to the customer. At some point in time, PII can need to be disposed of in some manner. This can involve returning the PII to the customer, transferring it to another organization or to a PII controller (e.g. as a result of a merger), deleting or otherwise destroying it, de-identifying it or archiving it. The capability for the return, transfer and/or disposal of PII should be managed in a secure manner. The organization should provide the assurance necessary to allow the customer to ensure that PII processed under a contract is erased (by the organization and any of its subcontractors) from wherever they are stored, including for the purposes of backup and business continuity, as soon as they are no longer necessary for the identified purposes of the customer. The organization should develop and implement a policy in respect to the disposal of PII and should make this policy available to customer when requested. The policy should cover the retention period for PII before its disposal after termination of a contract, to protect the customer from losing PII through an accidental lapse of the contract.",iso-27701,4.0-01;4.0-04;4.0-03;12.0-04,직접매핑,,,,,,,
7.4.7 Retention,"The organization should not retain PII for longer than is necessary for the purposes for which the PII is processed. The organization should develop and maintain retention schedules for information it retains, taking into account the requirement to retain PII for no longer than is necessary. Such schedules should take into account legal, regulatory and business requirements. Where such requirements conflict, a business decision needs to be taken (based on a risk assessment) and documented in the appropriate schedule.",iso-27701,4.0-01;4.0-04;3.0-01,직접매핑,,,,,,,
7.4.5 PII de-identification and deletion at the end of processing,"The organization should either delete PII or render it in a form which does not permit identification or re-identification of PII principals, as soon as the original PII is no longer necessary for the identified purpose(s). The organization should have mechanisms to erase the PII when no further processing is anticipated. Alternatively, some de-identification techniques can be used as long as the resulting de-identified data cannot reasonably permit re-identification of PII principals.",iso-27701,4.0-01;4.0-02;4.0-03;12.0-05,직접매핑,,,,,,,
8.2.2 Organization's purposes,"The organization should ensure that PII processed on behalf of a customer are only processed for the purposes expressed in the documented instructions of the customer. The contract between the organization and the customer should include, but not be limited to, the objective and time frame to be achieved by the service. In order to achieve the customer's purpose, there can be technical reasons why it is appropriate for the organization to determine the method for processing PII, consistent with the general instructions of the customer but without the customer's express instruction. For example, in order to efficiently utilize network or processing capacity it can be necessary to allocate specific processing resources depending on certain characteristics of the PII principal. The organization should allow the customer to verify their compliance with the purpose specification and limitation principles. This also ensures that no PII is processed by the organization or any of its subcontractors for other purposes than those expressed in the documented instructions of the customer.",iso-27701,11.0-02;12.0-01;3.0-01,직접매핑,,,,,,,
6.6.2.2 User access provisioning,"The organization should maintain an accurate, up-to-date record of the user profiles created for users who have been authorized access to the information system and the PII contained therein. This profile comprises the set of data about that user, including user ID, necessary to implement the identified technical controls providing authorized access. Implementing individual user access IDs enables appropriately configured systems to identify who accessed PII and what additions, deletions or changes they made. As well as protecting the organization, users are also protected as they can identify what they have processed and what they have not processed. In the case where the organization is providing PII processing as a service, the customer can be responsible for some or all aspects of access management. Where appropriate, the organization should provide the customer the means to perform access management, such as by providing administrative rights to manage or terminate access. Such cases should be included in the documented information.",iso-27701,1.0-01;11.0-02;13.0-02;3.0-11,직접매핑,,,,,,,
6.8.2.7 Secure disposal or re-use of equipment,"The organization should ensure that, whenever storage space is re-assigned, any PII previously residing on that storage space is not accessible. On deletion of PII held in an information system, performance issues can mean that explicit erasure of that PII is impractical. This creates the risk that another user can access the PII. Such risk should be avoided by specific technical measures. For secure disposal or re-use, equipment containing storage media that can possibly contain PII should be treated as though it does contain PII.",iso-27701,4.0-03;9.0-07;2.0-15,직접매핑,,,,,,,
6.5.2.1 Classification of information,"The organization's information classification system should explicitly consider PII as part of the scheme it implements. Considering PII within the overall classification system is integral to understanding what PII the organization processes (e.g. type, special categories), where such PII is stored and the systems through which it can flow.",iso-27701,12.0-05;11.0-03;5.0-03;5.0-04,직접매핑,,,,,,,
